id,question,outcome,entry_price,exit_price,pnl_usdc,exit_reason,strategy_mode,sym_m15m,sym_m5m,sym_m30m,vol_ratio,btc_m15m,regime_score,mtf_aligned,entry_time,exit_time,kelly_fraction,symbol,momentum_sign,thesis_type,actual_candle_outcome,hyp_flip_win,is_win
204,"Ethereum Up or Down - May 17, 1AM ET",Down,0.255,0.49,16.59,exit_lock_profit,updown_hourly_contrarian_dry_run,0.00156,-0.00078,0.00079,0.591,0.00113,,0,2026-05-17T05:16:48.509312+00:00,2026-05-17T05:30:45.081874+00:00,0.249,ETH,+,contrarian,Down,False,True
205,"Solana Up or Down - May 17, 2AM ET",Up,0.445,0.09,-7.73,exit_catastrophic,updown_hourly_contrarian_dry_run,-0.00161,0.00046,-0.00069,1.563,-0.00131,,0,2026-05-17T06:33:31.290345+00:00,2026-05-17T06:43:35.435843+00:00,0.0946,SOL,-,contrarian,Down,True,False
206,"Solana Up or Down - May 17, 3AM ET",Down,0.325,0.15,-7.81,exit_catastrophic,updown_hourly_contrarian_dry_run,0.00288,0.00011,0.00288,1.12,0.00183,,1,2026-05-17T07:39:16.748573+00:00,2026-05-17T07:49:34.575021+00:00,0.2022,SOL,+,contrarian,Up,True,False
207,"XRP Up or Down - May 17, 3AM ET",Down,0.345,0.12,-9.46,exit_catastrophic,updown_hourly_contrarian_dry_run,0.00219,-0.00014,0.00141,0.576,0.00183,,0,2026-05-17T07:39:17.721515+00:00,2026-05-17T07:49:34.593336+00:00,0.187,XRP,+,contrarian,Up,True,False
208,"Bitcoin Up or Down - May 17, 3AM ET",Down,0.435,0.11,-5.89,exit_catastrophic,updown_hourly_contrarian_dry_run,0.00183,8e-05,0.00137,1.05,0.00183,,1,2026-05-17T07:39:49.906423+00:00,2026-05-17T07:50:07.742579+00:00,0.1053,BTC,+,contrarian,Up,True,False
209,"Solana Up or Down - May 17, 4AM ET",Up,0.34,0.16,-5.29,exit_catastrophic,updown_hourly_contrarian_dry_run,-0.00241,-0.00196,-0.00207,1.772,-0.00022,,1,2026-05-17T08:15:19.502990+00:00,2026-05-17T08:25:22.958944+00:00,0.1909,SOL,-,contrarian,Down,True,False
210,"XRP Up or Down - May 17, 4AM ET",Up,0.325,0.12,-4.73,exit_catastrophic,updown_hourly_contrarian_dry_run,-0.00197,-0.00014,-0.00092,0.371,-0.00089,,1,2026-05-17T08:26:28.393491+00:00,2026-05-17T08:36:32.315424+00:00,0.2022,XRP,-,contrarian,Down,True,False
212,"Dogecoin Up or Down - May 17, 9AM ET",Up,0.4,0.02,-13.26,exit_catastrophic,updown_hourly_contrarian_dry_run,-0.00348,0.00027,-0.00719,0.529,-0.00116,,0,2026-05-17T13:08:11.327165+00:00,2026-05-17T13:20:02.030107+00:00,0.14,DOGE,-,contrarian,Down,True,False
214,"Ethereum Up or Down - May 17, 11AM ET",Up,0.375,0.26,-2.30,exit_catastrophic,updown_hourly_contrarian_dry_run,-0.00189,2e-05,-0.00145,0.531,-0.00102,,0,2026-05-17T15:25:30.859193+00:00,2026-05-17T15:42:55.488473+00:00,0.1624,ETH,-,contrarian,Down,True,False
215,Solana Up or Down on May 17?,Up,0.265,0.01,-7.22,exit_catastrophic,updown_hourly_contrarian_dry_run,-0.00173,0.00012,-0.00023,0.67,-0.00102,,0,2026-05-17T15:25:31.947287+00:00,2026-05-17T16:00:44.978813+00:00,0.2429,SOL,-,contrarian,Down,True,False
